merge,0,0,0,2,0,0,2,4,0,0,2,16,0,4,16,64
spawn,2,0,0,2,0,0,2,4,0,0,2,16,0,4,16,64
merge,0,0,0,4,0,0,2,4,0,0,2,16,0,4,16,64
spawn,0,0,0,4,0,0,2,4,0,0,2,16,2,4,16,64
merge,0,0,0,0,0,0,0,8,0,0,4,16,2,4,16,64
spawn,0,0,2,0,0,0,0,8,0,0,4,16,2,4,16,64
merge,0,0,0,2,0,0,0,8,0,0,4,16,2,4,16,64
spawn,0,0,0,2,0,0,2,8,0,0,4,16,2,4,16,64
invalid,0,0,0,2,0,0,2,8,0,0,4,16,2,4,16,64
merge,2,4,2,2,0,0,4,8,0,0,16,16,0,0,0,64
spawn,2,4,2,2,0,0,4,8,2,0,16,16,0,0,0,64
merge,0,0,0,2,0,0,2,8,0,0,4,16,4,4,16,64
spawn,0,0,0,2,2,0,2,8,0,0,4,16,4,4,16,64
merge,0,0,0,2,0,0,4,8,0,0,4,16,0,8,16,64
spawn,0,0,0,2,0,2,4,8,0,0,4,16,0,8,16,64
invalid,0,0,0,2,0,2,4,8,0,0,4,16,0,8,16,64
merge,0,2,8,2,0,8,16,8,0,0,0,16,0,0,0,64
spawn,0,2,8,2,4,8,16,8,0,0,0,16,0,0,0,64
merge,0,0,0,2,0,0,0,8,0,2,8,16,4,8,16,64
spawn,0,0,0,2,0,0,0,8,2,2,8,16,4,8,16,64
merge,0,0,0,2,0,0,0,8,0,4,8,16,4,8,16,64
spawn,0,0,0,2,0,0,2,8,0,4,8,16,4,8,16,64
merge,4,4,2,2,0,8,8,8,0,0,16,16,0,0,0,64
spawn,4,4,2,2,0,8,8,8,0,0,16,16,0,0,2,64
merge,0,0,8,4,0,0,8,16,0,0,0,32,0,0,2,64
spawn,0,0,8,4,0,0,8,16,0,0,0,32,0,2,2,64
merge,0,0,0,4,0,0,0,16,0,0,16,32,0,2,2,64
spawn,0,0,0,4,0,0,2,16,0,0,16,32,0,2,2,64
merge,0,2,2,4,0,0,16,16,0,0,2,32,0,0,0,64
spawn,0,2,2,4,0,0,16,16,0,0,2,32,0,0,2,64
merge,0,0,4,4,0,0,0,32,0,0,2,32,0,0,2,64
spawn,2,0,4,4,0,0,0,32,0,0,2,32,0,0,2,64
merge,0,0,2,8,0,0,0,32,0,0,2,32,0,0,2,64
spawn,0,2,2,8,0,0,0,32,0,0,2,32,0,0,2,64
merge,0,0,4,8,0,0,0,32,0,0,2,32,0,0,2,64
spawn,2,0,4,8,0,0,0,32,0,0,2,32,0,0,2,64
merge,0,0,0,0,0,0,0,8,0,0,4,64,2,0,4,64
spawn,0,0,0,2,0,0,0,8,0,0,4,64,2,0,4,64
merge,0,0,0,0,0,0,0,2,0,0,0,8,2,0,8,128
spawn,0,0,0,0,2,0,0,2,0,0,0,8,2,0,8,128
merge,0,0,0,0,0,0,0,4,0,0,0,8,0,2,8,128
spawn,0,0,2,0,0,0,0,4,0,0,0,8,0,2,8,128
merge,0,0,0,2,0,0,0,4,0,0,0,8,0,2,8,128
spawn,0,0,0,2,0,0,0,4,0,0,2,8,0,2,8,128
merge,0,2,2,2,0,0,8,4,0,0,0,8,0,0,0,128
spawn,0,2,2,2,0,0,8,4,2,0,0,8,0,0,0,128
merge,0,0,2,4,0,0,8,4,0,0,2,8,0,0,0,128
spawn,0,0,2,4,2,0,8,4,0,0,2,8,0,0,0,128
merge,0,0,0,0,0,0,2,8,0,0,8,8,2,0,2,128
spawn,0,0,0,0,2,0,2,8,0,0,8,8,2,0,2,128
merge,0,0,0,0,0,0,4,8,0,0,0,16,0,0,4,128
spawn,0,2,0,0,0,0,4,8,0,0,0,16,0,0,4,128
merge,0,0,0,2,0,0,4,8,0,0,0,16,0,0,4,128
spawn,0,0,0,2,0,0,4,8,0,0,0,16,2,0,4,128
merge,0,0,0,2,0,0,0,8,0,0,0,16,2,0,8,128
spawn,4,0,0,2,0,0,0,8,0,0,0,16,2,0,8,128
merge,0,0,4,2,0,0,0,8,0,0,0,16,0,2,8,128
spawn,0,0,4,2,0,0,0,8,0,0,0,16,2,2,8,128
merge,2,2,4,2,0,0,8,8,0,0,0,16,0,0,0,128
spawn,2,2,4,2,0,0,8,8,0,0,0,16,0,2,0,128
merge,0,4,4,2,0,0,0,16,0,0,0,16,0,0,2,128
spawn,0,4,4,2,2,0,0,16,0,0,0,16,0,0,2,128
merge,0,0,0,0,0,0,0,2,0,0,4,32,2,4,2,128
spawn,4,0,0,0,0,0,0,2,0,0,4,32,2,4,2,128
merge,0,0,0,4,0,0,0,2,0,0,4,32,2,4,2,128
spawn,0,0,0,4,0,0,0,2,2,0,4,32,2,4,2,128
merge,0,0,0,4,0,0,0,2,0,2,4,32,2,4,2,128
spawn,0,0,0,4,0,2,0,2,0,2,4,32,2,4,2,128
merge,0,0,0,4,0,0,0,4,0,2,4,32,2,4,2,128
spawn,0,0,0,4,0,0,2,4,0,2,4,32,2,4,2,128
merge,0,0,0,0,0,0,2,8,0,2,4,32,2,4,2,128
spawn,0,0,0,0,0,2,2,8,0,2,4,32,2,4,2,128
merge,0,0,0,0,0,0,4,8,0,2,4,32,2,4,2,128
spawn,2,0,0,0,0,0,4,8,0,2,4,32,2,4,2,128
merge,0,0,0,2,0,0,4,8,0,2,4,32,2,4,2,128
spawn,0,0,2,2,0,0,4,8,0,2,4,32,2,4,2,128
merge,2,2,2,2,0,4,8,8,0,0,2,32,0,0,0,128
spawn,2,2,2,2,2,4,8,8,0,0,2,32,0,0,0,128
merge,0,0,4,4,0,2,4,16,0,0,2,32,0,0,0,128
spawn,0,0,4,4,0,2,4,16,0,0,2,32,0,2,0,128
merge,0,0,0,8,0,2,4,16,0,0,2,32,0,0,2,128
spawn,0,0,0,8,0,2,4,16,2,0,2,32,0,0,2,128
merge,0,0,0,8,0,0,0,16,0,0,4,32,2,2,4,128
spawn,0,0,4,8,0,0,0,16,0,0,4,32,2,2,4,128
merge,2,2,8,8,0,0,4,16,0,0,0,32,0,0,0,128
